,name,initial_method,n_qubits,m_state,n_g2_initial,time_initial,n_g2_qiskit,time_qiskit,n_g2_bqskit_flow,time_bqskit_flow,n_g2_ours,time_ours
237,Random-Sparse-Uniform,m_flow,9,9,34,0.24808818500605412,32,0.021549074008362368,32,1.4604506739997305,28,0.006215327972313389
238,Random-Sparse-Nonuniform,n_flow,3,3,6,0.000920423015486449,6,0.005687083990778774,5,3.764949673000956,2,0.0013975510082673281
239,Random-Sparse-Nonuniform,n_flow,4,4,6,0.0008682649931870401,6,0.006368580012349412,6,4.085509323020233,3,0.0016054880106821656
240,Random-Sparse-Nonuniform,m_flow,5,5,10,0.009039291006047279,10,0.007050572021398693,10,1.6211159410013352,7,0.0018616349843796343
241,Random-Sparse-Nonuniform,m_flow,6,6,19,0.027896254003280774,19,0.012994492019061,19,4.102418674010551,17,0.0036317479971330613
242,Random-Sparse-Nonuniform,m_flow,7,7,24,0.09591158299008384,22,0.028501251013949513,21,2.0762291819846723,19,0.004249166988302022
243,Random-Sparse-Nonuniform,m_flow,8,8,27,0.3690225550089963,27,0.014184789004502818,24,1.5669554630003404,21,0.004875254002399743
244,Random-Sparse-Nonuniform,m_flow,9,9,39,0.7550616369990166,37,0.03107792598893866,37,2.1571824720012955,33,0.008176297997124493
245,Random-Dense-Uniform,n_flow,3,4,6,0.0008205060148611665,6,0.005537025019293651,6,2.0506140820216388,3,0.0017180379945784807
246,Random-Dense-Uniform,n_flow,4,8,14,0.0013457149907480925,14,0.009577154996804893,14,4.211275759007549,13,0.004472211992833763
247,Random-Dense-Uniform,n_flow,5,16,30,0.0022787009947933257,30,0.016861590003827587,41,3.4916640729934443,29,0.01602474198443815
248,Random-Dense-Uniform,n_flow,6,32,62,0.004097103985259309,62,0.032246399990981445,69,5.079597010015277,61,0.05656621098751202
249,Random-Dense-Uniform,n_flow,7,64,126,0.01564947300357744,126,0.07485820198780857,166,8.084714597993298,125,0.31425911901169457
250,Random-Dense-Uniform,n_flow,8,128,254,0.037702838017139584,254,0.21284377601114102,322,12.877510748978239,253,1.3547197919979226
251,Random-Dense-Uniform,n_flow,9,256,510,0.06632995899417438,510,0.5801817330066115,618,13.967183656990528,509,5.431769728980726
