,num_qubit,sparsity,baseline,ours,time
320,3,6,24,3,0.013543080000090413
321,3,6,30,3,0.014617364000514499
322,3,6,30,3,0.015363706999778515
323,3,6,21,4,0.03026957099973515
324,3,6,2,2,0.00647875100003148
325,3,6,31,4,0.030646653000076185
326,3,6,4,2,0.006181683000249905
327,3,6,12,2,0.006438902000809321
328,3,6,4,2,0.006691606999083888
329,3,6,4,2,0.006177915000080247
330,3,6,31,4,0.03145984100046917
331,3,6,6,2,0.006959112999538775
332,3,6,20,3,0.014619059998949524
333,3,6,20,3,0.013681627000551089
334,3,6,32,3,0.014175120000800234
335,3,6,32,3,0.014210917999662342
336,3,6,3,2,0.008643037999718217
337,3,7,21,6,0.04556997399959073
338,3,7,13,7,0.04844967600001837
339,3,7,13,7,0.047882885999570135
340,3,7,5,6,0.041683760999148944
341,3,7,20,6,0.04067241300072055
342,3,7,20,6,0.04092959300032817
343,3,7,20,6,0.04137990300114325
344,3,7,20,6,0.04143964499962749
345,3,7,21,6,0.046181742000044324
346,3,7,22,6,0.04546671000025526
347,3,7,20,6,0.042740421999042155
348,3,7,13,7,0.04862271700039855
349,3,7,16,7,0.05168956200031971
350,3,7,22,6,0.046469250999507494
351,3,7,22,6,0.045775962998959585
352,3,7,13,7,0.048248590999719454
353,3,7,5,6,0.04200734500045655
354,3,7,17,6,0.045030854000287945
355,3,7,17,6,0.04331980400093016
356,3,7,20,6,0.04219287999876542
357,3,7,5,6,0.041881598999680136
358,3,7,22,6,0.047646707000239985
359,3,7,13,7,0.049139673999889055
360,3,7,13,7,0.04865608299951418
361,3,7,21,6,0.04673941399960313
362,3,7,17,6,0.04488966399912897
363,3,7,20,6,0.04247585000121035
364,3,7,17,6,0.044610144999751355
365,3,7,16,7,0.047565967000991805
366,3,7,15,6,0.04741687000023376
367,3,7,20,6,0.040736152999670594
368,3,7,22,6,0.045710424999924726
369,3,7,20,6,0.04007627999999386
370,3,7,17,6,0.043315516000802745
371,3,7,21,6,0.04476492399953713
372,3,7,15,6,0.0464834480007994
373,3,7,22,6,0.04759586799991666
374,3,7,5,6,0.04180579899912118
375,3,7,13,7,0.04861671199978446
376,3,7,13,7,0.04894010200041521
377,3,7,21,6,0.045721991000391426
378,3,7,17,6,0.04401212599987048
379,3,7,17,6,0.044042722998710815
380,3,7,5,6,0.0418238360016403
381,3,7,20,6,0.04141145200082974
382,3,7,22,6,0.047249471999748494
383,3,7,5,6,0.04486961600014183
384,3,7,16,7,0.04748677499992482
385,3,7,5,6,0.042747116000100505
386,3,7,20,6,0.041591318000428146
387,3,7,21,6,0.04753708299904247
388,3,7,22,6,0.04791726599978574
389,3,7,21,6,0.04632062199925713
390,3,7,20,6,0.041625361000114935
391,3,7,22,6,0.048685117000786704
392,3,7,21,6,0.04746429700026056
393,3,7,20,6,0.04232557999966957
394,3,7,21,6,0.046362369999769726
395,3,7,16,7,0.048319516999981715
396,3,7,5,6,0.04110694399969361
397,3,7,17,6,0.04489376400124456
398,3,7,20,6,0.04185168399999384
399,3,7,16,7,0.04798402000051283
400,3,7,15,6,0.0469183580007666
401,3,7,16,7,0.048711155001001316
402,3,7,5,6,0.04454775200065342
403,3,7,13,7,0.05016462699859403
404,3,7,15,6,0.04764923200127669
405,3,7,20,6,0.04202730300130497
406,3,7,16,7,0.04812599700017017
407,3,7,22,6,0.04684001299938245
408,3,7,22,6,0.047182436001094175
409,3,7,15,6,0.04846813899894187
410,3,7,22,6,0.05014545099948009
411,3,7,13,7,0.05108687199935957
412,3,7,21,6,0.04681930399965495
413,3,7,5,6,0.04237984399878769
414,3,7,5,6,0.04197322100117162
415,3,7,5,6,0.04208741399997962
416,3,7,20,6,0.04201550299876544
417,3,7,13,7,0.04982381000081659
418,3,7,21,6,0.045920963000753545
419,3,7,20,6,0.04207607299940719
420,3,7,21,6,0.04745882200040796
421,3,7,15,6,0.047837254000114626
422,3,7,16,7,0.04786873700140859
423,3,7,15,6,0.04703750100088655
424,3,7,16,7,0.04802866499994707
425,3,7,21,6,0.04821292300039204
426,3,7,21,6,0.04696631200022239
427,3,7,13,7,0.04888444700009131
428,3,7,20,6,0.04085668699917733
429,3,7,22,6,0.04731102599907899
430,3,7,15,6,0.04780164800104103
431,3,7,13,7,0.05045453000093403
432,3,7,5,6,0.04209760300000198
433,3,7,13,7,0.050290396000491455
434,3,7,20,6,0.04159050699854561
435,3,7,17,6,0.0453582420013845
436,3,7,21,6,0.04646075499840663
